         23650491 function calls (23177480 primitive calls) in 973.808 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    36167  336.032    0.009  336.032    0.009 {method 'executemany' of 'sqlite3.Connection' objects}
    36174  335.810    0.009  335.810    0.009 {method 'execute' of 'sqlite3.Connection' objects}
    72335  281.838    0.004  281.838    0.004 {method 'commit' of 'sqlite3.Connection' objects}
    36753    2.440    0.000    2.982    0.000 glob.py:424(select_wildcard)
    97/96    0.983    0.010  950.012    9.896 threading.py:641(wait)
  3420488    0.820    0.000    1.213    0.000 utils.py:375(<genexpr>)
     1172    0.795    0.001    0.795    0.001 {built-in method posix.scandir}
    36167    0.509    0.000    1.232    0.000 hlsp_filename.py:390(create_fields)
   218802    0.454    0.000    0.454    0.000 {method 'match' of 're.Pattern' objects}
    23664    0.451    0.000    1.664    0.000 {built-in method builtins.sum}
     7887    0.410    0.000    1.875    0.000 std.py:464(format_meter)
  392/387    0.408    0.001    0.408    0.001 {method 'acquire' of '_thread.lock' objects}
  3396827    0.392    0.000    0.392    0.000 {built-in method unicodedata.east_asian_width}
   307516    0.377    0.000    0.593    0.000 _local.py:117(__init__)
   235176    0.360    0.000    2.756    0.000 _local.py:44(__getitem__)
   307513    0.357    0.000    1.482    0.000 _abc.py:130(with_segments)
    36167    0.350    0.000    2.582    0.000 hlsp_filename.py:414(evaluate_fields)
    36296    0.336    0.000    0.495    0.000 __init__.py:330(_compile)
1444742/974123    0.330    0.000    0.457    0.000 {built-in method builtins.len}
   325503    0.314    0.000    0.314    0.000 hlsp_filename.py:152(__init__)
    36167    0.309    0.000    1.793    0.000 hlsp_filename.py:376(partition)
   307516    0.307    0.000    0.900    0.000 _local.py:498(__init__)
   325503    0.299    0.000    0.655    0.000 hlsp_filename.py:161(evaluate)
    36557    0.291    0.000    0.312    0.000 {built-in method posix.stat}
  1227631    0.288    0.000    0.288    0.000 {built-in method builtins.isinstance}
   470352    0.264    0.000    0.295    0.000 _local.py:174(_str_normcase)
   271343    0.260    0.000    2.210    0.000 _local.py:245(_from_parsed_parts)
     7895    0.255    0.000    0.255    0.000 {method 'write' of '_io.TextIOWrapper' objects}
   325503    0.244    0.000    0.244    0.000 hlsp_filename.py:166(get_scores)
   470171    0.242    0.000    0.318    0.000 _local.py:346(name)
   271346    0.238    0.000    0.456    0.000 _local.py:237(_format_parsed_parts)
   108501    0.220    0.000    0.324    0.000 hlsp_filename.py:111(matchMultiChoice)
    36167    0.195    0.000  475.689    0.013 fc_db.py:96(add_fields)
    36167    0.193    0.000  478.001    0.013 fc_db.py:83(add_filename)
    36168    0.191    0.000    3.648    0.000 std.py:1160(__iter__)
    36167    0.189    0.000    1.170    0.000 hlsp_filename.py:363(__init__)
    36171    0.170    0.000    0.313    0.000 _local.py:257(_parse_path)
   235176    0.165    0.000    0.491    0.000 _local.py:193(__eq__)
   307510    0.154    0.000    1.636    0.000 _local.py:252(_from_parsed_string)
   644110    0.153    0.000    0.153    0.000 {method 'append' of 'list' objects}
    36167    0.143    0.000    3.190    0.000 _local.py:365(relative_to)
   108501    0.137    0.000    0.575    0.000 _local.py:35(__init__)
    36167    0.136    0.000    2.195    0.000 <frozen _collections_abc>:1037(__contains__)
   307516    0.136    0.000    0.225    0.000 _local.py:505(__new__)
   217011    0.136    0.000    0.136    0.000 {method 'split' of 'str' objects}
   470352    0.127    0.000    0.186    0.000 _local.py:41(__len__)
    36273    0.121    0.000    0.891    0.000 __init__.py:164(match)
   108501    0.117    0.000    0.692    0.000 _local.py:339(parents)
   325545    0.115    0.000    0.208    0.000 hlsp_filename.py:95(capitalization)
   273354    0.111    0.000    0.111    0.000 {method 'join' of 'str' objects}
    72335    0.108    0.000    0.157    0.000 __init__.py:1497(debug)
   452214    0.105    0.000    0.105    0.000 {built-in method sys.intern}
   325503    0.102    0.000    0.148    0.000 hlsp_filename.py:92(length)
   144668    0.101    0.000    0.132    0.000 hlsp_filename.py:108(matchChoice)
   651010    0.099    0.000    0.099    0.000 _local.py:307(_tail)
   325545    0.093    0.000    0.093    0.000 {method 'islower' of 'str' objects}
     7885    0.093    0.000    3.440    0.000 std.py:1198(update)
    36167    0.091    0.000    0.282    0.000 hlsp_filename.py:215(evaluate)
   307755    0.090    0.000    0.090    0.000 {built-in method __new__ of type object at 0x55b0fcda0b80}
   359302    0.089    0.000    0.089    0.000 {method 'lower' of 'str' objects}
    47311    0.088    0.000    0.088    0.000 std.py:231(__call__)
   235176    0.087    0.000    1.652    0.000 <frozen _collections_abc>:1027(__iter__)
