         251519 function calls (248748 primitive calls) in 1.121 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       35    0.382    0.011    0.382    0.011 {method 'execute' of 'sqlite3.Connection' objects}
       28    0.256    0.009    0.256    0.009 {method 'executemany' of 'sqlite3.Connection' objects}
       57    0.180    0.003    0.180    0.003 {method 'commit' of 'sqlite3.Connection' objects}
       64    0.073    0.001    0.073    0.001 {built-in method _io.open_code}
      418    0.022    0.000    0.022    0.000 {built-in method posix.stat}
        1    0.014    0.014    0.014    0.014 {method 'close' of 'sqlite3.Connection' objects}
       20    0.014    0.001    0.014    0.001 {built-in method _imp.create_dynamic}
        8    0.010    0.001    0.010    0.001 {built-in method posix.listdir}
        1    0.008    0.008    0.087    0.087 fc_db.py:57(create_db)
       64    0.007    0.000    0.007    0.000 {built-in method marshal.loads}
    12380    0.007    0.000    0.012    0.000 scanner.py:145(need_more_tokens)
      844    0.005    0.000    0.012    0.000 scanner.py:1311(scan_plain_spaces)
     7331    0.005    0.000    0.057    0.000 scanner.py:113(check_token)
     9826    0.005    0.000    0.006    0.000 reader.py:99(forward)
      834    0.005    0.000    0.021    0.000 scanner.py:1270(scan_plain)
     1685    0.004    0.000    0.042    0.000 scanner.py:156(fetch_more_tokens)
      131    0.004    0.000    0.004    0.000 _compiler.py:241(_optimize_charset)
    12548    0.004    0.000    0.004    0.000 scanner.py:279(stale_possible_simple_keys)
    30173    0.004    0.000    0.004    0.000 reader.py:87(peek)
     1010    0.004    0.000    0.015    0.000 parser.py:273(parse_node)
        1    0.003    0.003    0.003    0.003 {built-in method posix.remove}
      237    0.003    0.000    0.011    0.000 {built-in method builtins.__build_class__}
        1    0.003    0.003    0.003    0.003 serializer.py:1(<module>)
     1685    0.003    0.000    0.006    0.000 scanner.py:752(scan_to_next_token)
    18425    0.003    0.000    0.003    0.000 {built-in method builtins.isinstance}
     4436    0.003    0.000    0.003    0.000 reader.py:114(get_mark)
18697/18318    0.002    0.000    0.003    0.000 {built-in method builtins.len}
        1    0.002    0.002    0.002    0.002 {built-in method _sqlite3.connect}
        4    0.002    0.001    0.002    0.001 {built-in method posix.scandir}
   1010/2    0.002    0.000    0.079    0.040 composer.py:63(compose_node)
   140/24    0.002    0.000    0.005    0.000 _parser.py:511(_parse)
        3    0.002    0.001    0.002    0.001 {built-in method _io.open}
    10877    0.002    0.000    0.002    0.000 {method 'append' of 'list' objects}
     3288    0.002    0.000    0.072    0.000 parser.py:94(check_event)
    10863    0.002    0.000    0.002    0.000 scanner.py:264(next_possible_simple_key)
      660    0.002    0.000    0.004    0.000 scanner.py:484(fetch_block_entry)
     2524    0.002    0.000    0.003    0.000 scanner.py:1416(scan_line_break)
     2187    0.001    0.000    0.004    0.000 scanner.py:135(get_token)
      847    0.001    0.000    0.002    0.000 scanner.py:295(save_possible_simple_key)
      206    0.001    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:1624(find_spec)
     3218    0.001    0.000    0.002    0.000 reader.py:94(prefix)
      719    0.001    0.000    0.050    0.000 parser.py:381(parse_block_sequence_entry)
      847    0.001    0.000    0.003    0.000 composer.py:88(compose_scalar_node)
     1010    0.001    0.000    0.002    0.000 resolver.py:143(resolve)
       20    0.001    0.000    0.001    0.000 {built-in method _imp.exec_dynamic}
   227/24    0.001    0.000    0.005    0.000 _compiler.py:37(_compile)
      2/1    0.001    0.000    0.770    0.770 fc_app.py:74(check_filenames)
     1010    0.001    0.000    0.002    0.000 constructor.py:67(construct_object)
     1022    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:131(_path_join)
       64    0.001    0.000    0.001    0.000 {method 'read' of '_io.BufferedReader' objects}
      834    0.001    0.000    0.025    0.000 scanner.py:668(fetch_plain)
