         34042898 function calls (33425683 primitive calls) in 1591.988 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    51213    0.075    0.000    0.157    0.000 hlsp_filename.py:224(__init__)
    11546    0.072    0.000    0.072    0.000 {built-in method now}
    34641    0.072    0.000    0.072    0.000 {method 'sub' of 're.Pattern' objects}
   102426    0.071    0.000    0.185    0.000 hlsp_filename.py:99(matchHlspName)
    11546    0.070    0.000    4.976    0.000 std.py:1325(refresh)
    34641    0.066    0.000    2.487    0.000 utils.py:374(_text_width)
   153639    0.065    0.000    0.065    0.000 {built-in method builtins.all}
    11694    0.065    0.000    0.117    0.000 std.py:102(acquire)
   201076    0.063    0.000    0.063    0.000 {method '__exit__' of 'posix.ScandirIterator' objects}
   460917    0.063    0.000    0.063    0.000 hlsp_filename.py:115(severity)
   151750    0.061    0.000    0.061    0.000 {method 'is_dir' of 'posix.DirEntry' objects}
   409709    0.060    0.000    0.060    0.000 _local.py:227(__str__)
        1    0.055    0.055    0.055    0.055 {method 'close' of 'sqlite3.Connection' objects}
    34641    0.052    0.000    2.611    0.000 utils.py:378(disp_len)
    51323    0.052    0.000    0.052    0.000 {method 'pop' of 'dict' objects}
    51217    0.048    0.000    0.048    0.000 {built-in method posix._path_splitroot_ex}
    51213    0.045    0.000    0.075    0.000 hlsp_filename.py:184(__init__)
    51218    0.045    0.000    0.065    0.000 _local.py:277(_raw_path)
    11547    0.042    0.000    1.557    0.000 std.py:457(print_status)
    51213    0.040    0.000    0.078    0.000 hlsp_filename.py:252(__init__)
    11694    0.040    0.000    0.055    0.000 std.py:106(release)
    51213    0.039    0.000    0.080    0.000 hlsp_filename.py:268(__init__)
      2/1    0.039    0.019 1443.597 1443.597 example_script.py:1(<module>)
    51213    0.038    0.000    0.067    0.000 hlsp_filename.py:301(__init__)
    51216    0.038    0.000    0.046    0.000 _local.py:166(__fspath__)
    51213    0.038    0.000    0.072    0.000 hlsp_filename.py:283(__init__)
    11547    0.037    0.000    0.462    0.000 std.py:451(fp_write)
    48725    0.037    0.000    0.037    0.000 {built-in method time.time}
    51213    0.037    0.000    0.094    0.000 hlsp_filename.py:196(__init__)
    51213    0.036    0.000    0.062    0.000 hlsp_filename.py:240(__init__)
        1    0.036    0.036    0.036    0.036 {method 'fetchall' of 'sqlite3.Cursor' objects}
    11547    0.035    0.000    0.039    0.000 std.py:153(__init__)
   104778    0.032    0.000    0.032    0.000 {method 'pop' of 'list' objects}
    51215    0.032    0.000   22.073    0.000 _local.py:510(stat)
   242969    0.032    0.000    0.032    0.000 {built-in method builtins.ord}
       64    0.031    0.000    0.031    0.000 {built-in method _io.open_code}
    11694    0.030    0.000    0.030    0.000 {method 'acquire' of '_multiprocessing.SemLock' objects}
    11667    0.029    0.000    0.029    0.000 {method 'update' of 'dict' objects}
    51213    0.027    0.000    0.097    0.000 hlsp_filename.py:105(matchVersion)
    51213    0.027    0.000    0.074    0.000 hlsp_filename.py:102(matchTarget)
   153643    0.023    0.000    0.023    0.000 _local.py:298(root)
    11547    0.023    0.000    1.112    0.000 utils.py:386(disp_trim)
    11695    0.023    0.000    0.023    0.000 {method 'acquire' of '_thread.RLock' objects}
    57733    0.022    0.000    0.022    0.000 {built-in method builtins.divmod}
   153639    0.021    0.000    0.021    0.000 hlsp_filename.py:121(severity_lax)
    23096    0.021    0.000    0.426    0.000 utils.py:194(inner)
    23296    0.020    0.000    0.020    0.000 {built-in method builtins.max}
    24073    0.018    0.000    0.018    0.000 {built-in method builtins.hasattr}
    51213    0.017    0.000    0.017    0.000 {built-in method _stat.S_ISREG}
    11555    0.011    0.000    0.011    0.000 {method 'flush' of '_io.TextIOWrapper' objects}
    11549    0.011    0.000    0.011    0.000 {built-in method builtins.abs}
       20    0.011    0.001    0.011    0.001 {built-in method _imp.create_dynamic}
      148    0.011    0.000   10.002    0.068 std.py:110(__enter__)
    11694    0.009    0.000    0.009    0.000 {method 'release' of '_multiprocessing.SemLock' objects}
        1    0.008    0.008    0.050    0.050 fc_db.py:110(print_summary)
        1    0.008    0.008    0.072    0.072 fc_db.py:57(create_db)
    11547    0.007    0.000    0.007    0.000 utils.py:112(__format__)
       64    0.007    0.000    0.007    0.000 {built-in method marshal.loads}
    12380    0.007    0.000    0.012    0.000 scanner.py:145(need_more_tokens)
    11547    0.007    0.000    0.007    0.000 utils.py:108(__init__)
    11695    0.006    0.000    0.006    0.000 {method 'release' of '_thread.RLock' objects}
      844    0.005    0.000    0.012    0.000 scanner.py:1311(scan_plain_spaces)
     7331    0.005    0.000    0.057    0.000 scanner.py:113(check_token)
     9826    0.005    0.000    0.006    0.000 reader.py:99(forward)
      2/1    0.005    0.002    1.768    1.768 fc_app.py:74(check_filenames)
      834    0.005    0.000    0.021    0.000 scanner.py:1270(scan_plain)
        8    0.005    0.001    0.005    0.001 {built-in method posix.listdir}
      131    0.004    0.000    0.004    0.000 _compiler.py:241(_optimize_charset)
    11547    0.004    0.000    0.004    0.000 std.py:167(colour)
     1685    0.004    0.000    0.042    0.000 scanner.py:156(fetch_more_tokens)
    12548    0.004    0.000    0.004    0.000 scanner.py:279(stale_possible_simple_keys)
    30173    0.004    0.000    0.004    0.000 reader.py:87(peek)
     1010    0.004    0.000    0.015    0.000 parser.py:273(parse_node)
    11547    0.004    0.000    0.004    0.000 std.py:163(colour)
       99    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap>:124(setdefault)
      237    0.003    0.000    0.011    0.000 {built-in method builtins.__build_class__}
      2/1    0.003    0.001 1443.558 1443.558 example_script.py:7(run_checker)
     1685    0.003    0.000    0.006    0.000 scanner.py:752(scan_to_next_token)
     4436    0.002    0.000    0.003    0.000 reader.py:114(get_mark)
   1010/2    0.002    0.000    0.080    0.040 composer.py:63(compose_node)
   140/24    0.002    0.000    0.005    0.000 _parser.py:511(_parse)
        3    0.002    0.001    0.002    0.001 {built-in method _io.open}
     1155    0.002    0.000    0.005    0.000 _weakrefset.py:63(__iter__)
  145/144    0.002    0.000    8.610    0.060 threading.py:327(wait)
     3288    0.002    0.000    0.072    0.000 parser.py:94(check_event)
        1    0.002    0.002    0.002    0.002 {built-in method _sqlite3.connect}
    10863    0.002    0.000    0.002    0.000 scanner.py:264(next_possible_simple_key)
      660    0.002    0.000    0.004    0.000 scanner.py:484(fetch_block_entry)
     2524    0.001    0.000    0.003    0.000 scanner.py:1416(scan_line_break)
     2187    0.001    0.000    0.004    0.000 scanner.py:135(get_token)
      847    0.001    0.000    0.002    0.000 scanner.py:295(save_possible_simple_key)
      719    0.001    0.000    0.050    0.000 parser.py:381(parse_block_sequence_entry)
     3218    0.001    0.000    0.002    0.000 reader.py:94(prefix)
      288    0.001    0.000    0.011    0.000 _monitor.py:47(get_instances)
      292    0.001    0.000    0.008    0.000 _weakrefset.py:37(__init__)
