         241628 function calls (238933 primitive calls) in 0.717 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       16    0.314    0.020    0.314    0.020 {method 'execute' of 'sqlite3.Connection' objects}
        9    0.063    0.007    0.063    0.007 {method 'executemany' of 'sqlite3.Connection' objects}
       19    0.062    0.003    0.062    0.003 {method 'commit' of 'sqlite3.Connection' objects}
        1    0.030    0.030    0.251    0.251 fc_db.py:57(create_db)
       64    0.029    0.000    0.029    0.000 {built-in method _io.open_code}
      399    0.029    0.000    0.029    0.000 {built-in method posix.stat}
       20    0.013    0.001    0.013    0.001 {built-in method _imp.create_dynamic}
        1    0.011    0.011    0.011    0.011 {method 'close' of 'sqlite3.Connection' objects}
        1    0.009    0.009    0.009    0.009 {built-in method _sqlite3.connect}
       64    0.007    0.000    0.007    0.000 {built-in method marshal.loads}
    12380    0.007    0.000    0.012    0.000 scanner.py:145(need_more_tokens)
      844    0.005    0.000    0.012    0.000 scanner.py:1311(scan_plain_spaces)
     7331    0.005    0.000    0.057    0.000 scanner.py:113(check_token)
     9826    0.005    0.000    0.006    0.000 reader.py:99(forward)
      834    0.005    0.000    0.021    0.000 scanner.py:1270(scan_plain)
        8    0.004    0.001    0.004    0.001 {built-in method posix.listdir}
      131    0.004    0.000    0.004    0.000 _compiler.py:241(_optimize_charset)
     1685    0.004    0.000    0.042    0.000 scanner.py:156(fetch_more_tokens)
    12548    0.004    0.000    0.004    0.000 scanner.py:279(stale_possible_simple_keys)
    30173    0.004    0.000    0.004    0.000 reader.py:87(peek)
     1010    0.004    0.000    0.015    0.000 parser.py:273(parse_node)
      237    0.003    0.000    0.012    0.000 {built-in method builtins.__build_class__}
        1    0.003    0.003    0.003    0.003 serializer.py:1(<module>)
     1685    0.003    0.000    0.006    0.000 scanner.py:752(scan_to_next_token)
    18127    0.002    0.000    0.003    0.000 {built-in method builtins.isinstance}
     4436    0.002    0.000    0.003    0.000 reader.py:114(get_mark)
18290/17987    0.002    0.000    0.002    0.000 {built-in method builtins.len}
   140/24    0.002    0.000    0.006    0.000 _parser.py:511(_parse)
   1010/2    0.002    0.000    0.079    0.040 composer.py:63(compose_node)
    10629    0.002    0.000    0.002    0.000 {method 'append' of 'list' objects}
     3288    0.002    0.000    0.071    0.000 parser.py:94(check_event)
      660    0.002    0.000    0.004    0.000 scanner.py:484(fetch_block_entry)
    10863    0.002    0.000    0.002    0.000 scanner.py:264(next_possible_simple_key)
     2524    0.002    0.000    0.003    0.000 scanner.py:1416(scan_line_break)
      206    0.001    0.000    0.032    0.000 <frozen importlib._bootstrap_external>:1624(find_spec)
        3    0.001    0.000    0.001    0.000 {built-in method _io.open}
        2    0.001    0.001    0.001    0.001 {built-in method posix.scandir}
     2187    0.001    0.000    0.004    0.000 scanner.py:135(get_token)
      847    0.001    0.000    0.002    0.000 scanner.py:295(save_possible_simple_key)
