         502560 function calls (497237 primitive calls) in 15.155 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      451    5.448    0.012    5.448    0.012 {method 'execute' of 'sqlite3.Connection' objects}
      444    5.093    0.011    5.093    0.011 {method 'executemany' of 'sqlite3.Connection' objects}
      889    3.906    0.004    3.906    0.004 {method 'commit' of 'sqlite3.Connection' objects}
      834    0.177    0.000    0.177    0.000 {built-in method posix.stat}
      194    0.059    0.000    0.059    0.000 {built-in method posix.scandir}
       64    0.030    0.000    0.030    0.000 {built-in method _io.open_code}
        1    0.029    0.029    0.029    0.029 {method 'close' of 'sqlite3.Connection' objects}
       20    0.014    0.001    0.014    0.001 {built-in method _imp.create_dynamic}
    51568    0.012    0.000    0.018    0.000 utils.py:375(<genexpr>)
      2/1    0.010    0.005   10.000   10.000 threading.py:641(wait)
        1    0.009    0.009    0.072    0.072 fc_db.py:57(create_db)
       64    0.009    0.000    0.009    0.000 {built-in method marshal.loads}
    12380    0.007    0.000    0.013    0.000 scanner.py:145(need_more_tokens)
      363    0.007    0.000    0.025    0.000 {built-in method builtins.sum}
      444    0.007    0.000    0.016    0.000 hlsp_filename.py:390(create_fields)
      131    0.007    0.000    0.007    0.000 _compiler.py:241(_optimize_charset)
      120    0.006    0.000    0.029    0.000 std.py:464(format_meter)
     3819    0.006    0.000    0.006    0.000 {method 'match' of 're.Pattern' objects}
      844    0.006    0.000    0.014    0.000 scanner.py:1311(scan_plain_spaces)
    51208    0.006    0.000    0.006    0.000 {built-in method unicodedata.east_asian_width}
     7331    0.006    0.000    0.063    0.000 scanner.py:113(check_token)
     12/7    0.006    0.000    0.006    0.001 {method 'acquire' of '_thread.lock' objects}
     9826    0.006    0.000    0.007    0.000 reader.py:99(forward)
    26665    0.006    0.000    0.006    0.000 {built-in method builtins.isinstance}
29433/26502    0.006    0.000    0.006    0.000 {built-in method builtins.len}
      834    0.005    0.000    0.024    0.000 scanner.py:1270(scan_plain)
        1    0.005    0.005    0.005    0.005 {built-in method posix.remove}
      573    0.005    0.000    0.026    0.000 __init__.py:330(_compile)
      444    0.004    0.000    0.032    0.000 hlsp_filename.py:414(evaluate_fields)
        8    0.004    0.001    0.004    0.001 {built-in method posix.listdir}
     1685    0.004    0.000    0.047    0.000 scanner.py:156(fetch_more_tokens)
    12548    0.004    0.000    0.004    0.000 scanner.py:279(stale_possible_simple_keys)
